Brand,Processor,RAM,GPU,Screen Size,Resolution,Battery Life,Weight,Operating System,Price,Storage Size,Storage Type
Microsoft,AMD Ryzen 5,64,AMD Radeon RX 6600,16.0,2560x1440,9.3,2.31,macOS,3286.11,512,SSD
Dell,AMD Ryzen 3,4,Nvidia GTX 1650,15.6,1366x768,5.4,1.95,Windows,831.69,1000,SSD
Samsung,Intel i7,32,AMD Radeon RX 6800,15.6,2560x1440,11.5,2.32,FreeDOS,2868.04,1000,SSD
Lenovo,AMD Ryzen 9,32,Nvidia RTX 3060,17.3,2560x1440,11.4,1.7,Linux,3584.25,1000,SSD
HP,Intel i3,64,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4,512,SSD
Dell,AMD Ryzen 5,32,Nvidia GTX 1650,15.6,1920x1080,9.1,3.01,Windows,1834.21,2000,SSD
MSI,Intel i3,64,Nvidia RTX 2060,15.6,2560x1440,8.3,3.47,Linux,3390.88,1000,SSD
Acer,AMD Ryzen 5,8,AMD Radeon RX 6800,15.6,3840x2160,6.2,1.68,Linux,1923.02,512,SSD
Samsung,AMD Ryzen 9,32,Nvidia RTX 3060,14.0,1920x1080,5.4,2.6,macOS,2601.32,2000,SSD
Dell,AMD Ryzen 9,32,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48,2000,SSD
MSI,Intel i9,16,Nvidia GTX 1650,13.3,1920x1080,7.5,2.08,macOS,2516.31,1000,SSD
Microsoft,Intel i3,8,Nvidia RTX 2060,15.6,2560x1440,5.0,3.48,macOS,1083.11,2000,SSD
Samsung,Intel i9,32,Integrated,16.0,3840x2160,7.6,1.32,FreeDOS,3323.89,1000,SSD
Asus,AMD Ryzen 5,4,Nvidia GTX 1650,16.0,3840x2160,11.6,3.38,FreeDOS,1759.04,512,SSD
Dell,AMD Ryzen 5,4,Nvidia RTX 3060,13.3,1920x1080,8.0,2.69,macOS,990.18,1000,SSD
Apple,Intel i9,32,Nvidia GTX 1650,17.3,2560x1440,5.7,1.83,Windows,5373.59,2000,SSD
Acer,Intel i7,16,Integrated,16.0,2560x1440,6.6,3.39,Linux,1332.62,256,SSD
Microsoft,AMD Ryzen 3,32,Nvidia GTX 1650,16.0,1366x768,11.3,1.83,FreeDOS,1161.02,512,SSD
Lenovo,Intel i5,16,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02,1000,SSD
MSI,Intel i9,16,Integrated,17.3,3840x2160,10.3,3.16,Windows,3116.24,1000,SSD
Acer,AMD Ryzen 9,16,Integrated,14.0,2560x1440,4.5,2.09,FreeDOS,1748.58,2000,SSD
Asus,Intel i5,64,Nvidia RTX 3060,14.0,1920x1080,10.3,1.4,Windows,2521.5,512,SSD
HP,AMD Ryzen 9,32,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59,1000,SSD
HP,AMD Ryzen 7,16,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68,512,SSD
HP,AMD Ryzen 5,64,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87,512,SSD
Asus,Intel i3,8,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95,256,SSD
Asus,AMD Ryzen 7,64,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82,256,SSD
Lenovo,Intel i3,16,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48,512,SSD
Asus,AMD Ryzen 9,8,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8,1000,HDD
Lenovo,Intel i7,4,Integrated,13.3,3840x2160,7.8,1.23,macOS,1377.57,256,SSD
Asus,AMD Ryzen 7,8,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19,2000,SSD
MSI,AMD Ryzen 3,16,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88,2000,SSD
Lenovo,Intel i3,64,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07,256,SSD
Lenovo,Intel i7,4,Integrated,16.0,3840x2160,6.2,2.52,Windows,1524.94,2000,SSD
Acer,AMD Ryzen 3,32,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67,2000,SSD
Asus,AMD Ryzen 7,8,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84,1000,HDD
Apple,Intel i5,64,Nvidia RTX 3080,14.0,3840x2160,10.9,2.25,Windows,5768.75,512,SSD
Dell,AMD Ryzen 3,8,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4,512,SSD
Samsung,AMD Ryzen 5,8,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2,1000,HDD
Microsoft,Intel i9,16,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77,512,SSD
HP,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03,2000,SSD
Microsoft,AMD Ryzen 7,32,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45,2000,SSD
HP,AMD Ryzen 9,8,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79,256,SSD
Asus,Intel i5,16,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54,1000,SSD
Razer,Intel i9,16,Integrated,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04,256,SSD
HP,Intel i7,4,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35,1000,HDD
Acer,Intel i3,64,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44,512,SSD
Microsoft,Intel i7,32,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39,256,SSD
Dell,Intel i9,32,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24,1000,HDD
Asus,AMD Ryzen 5,4,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66,2000,SSD
Samsung,Intel i3,8,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34,512,SSD
MSI,Intel i3,8,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77,512,SSD
Lenovo,Intel i3,4,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94,1000,SSD
Microsoft,Intel i3,8,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91,1000,HDD
Asus,Intel i9,32,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96,512,SSD
Acer,AMD Ryzen 7,8,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62,512,SSD
Asus,AMD Ryzen 7,16,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07,2000,SSD
Microsoft,Intel i7,32,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62,2000,SSD
Acer,AMD Ryzen 3,64,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61,1000,HDD
Apple,AMD Ryzen 9,4,Integrated,13.3,2560x1440,11.2,1.61,Windows,1804.49,2000,SSD
Lenovo,AMD Ryzen 5,4,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35,512,SSD
Asus,AMD Ryzen 5,8,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61,1000,SSD
Razer,AMD Ryzen 7,8,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14,2000,SSD
Dell,AMD Ryzen 5,32,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97,2000,SSD
Apple,Intel i9,16,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94,1000,HDD
Dell,AMD Ryzen 3,8,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49,1000,SSD
Asus,Intel i5,16,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59,1000,SSD
Apple,AMD Ryzen 3,32,Nvidia RTX 3080,15.6,3840x2160,8.6,2.55,macOS,3496.93,2000,SSD
Samsung,Intel i3,8,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19,256,SSD
Lenovo,AMD Ryzen 5,64,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1,512,SSD
Asus,AMD Ryzen 7,64,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54,1000,SSD
Asus,Intel i7,64,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78,256,SSD
Apple,Intel i5,32,Integrated,17.3,1366x768,7.1,1.73,Windows,1548.95,1000,SSD
Dell,AMD Ryzen 5,4,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25,1000,SSD
Razer,AMD Ryzen 7,32,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63,256,SSD
Dell,Intel i5,64,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32,256,SSD
MSI,AMD Ryzen 3,16,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8,512,SSD
Acer,Intel i7,8,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06,256,SSD
HP,AMD Ryzen 7,64,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04,256,SSD
MSI,AMD Ryzen 5,64,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77,512,SSD
Microsoft,Intel i3,32,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52,1000,SSD
HP,Intel i3,8,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84,256,SSD
Microsoft,Intel i7,4,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39,1000,SSD
Microsoft,AMD Ryzen 9,64,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91,256,SSD
HP,AMD Ryzen 3,8,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57,256,SSD
MSI,Intel i3,4,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51,2000,SSD
Lenovo,Intel i9,32,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55,256,SSD
MSI,AMD Ryzen 5,8,Integrated,16.0,3840x2160,5.8,2.48,macOS,1407.17,1000,HDD
Lenovo,Intel i7,4,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96,2000,SSD
Asus,AMD Ryzen 5,4,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19,2000,SSD
Lenovo,AMD Ryzen 3,64,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47,256,SSD
Samsung,AMD Ryzen 3,64,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83,512,SSD
Razer,AMD Ryzen 9,16,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88,1000,SSD
Microsoft,AMD Ryzen 7,8,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83,2000,SSD
Asus,AMD Ryzen 7,16,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06,512,SSD
HP,Intel i3,4,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21,1000,HDD
Razer,Intel i3,32,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43,1000,HDD
Razer,AMD Ryzen 7,64,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77,1000,HDD
Asus,AMD Ryzen 3,32,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41,1000,SSD
MSI,Intel i9,64,Integrated,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97,512,SSD
Lenovo,Intel i7,64,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38,512,SSD
MSI,AMD Ryzen 3,4,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77,1000,HDD
Samsung,AMD Ryzen 5,8,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44,1000,HDD
HP,Intel i5,32,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94,2000,SSD
Lenovo,Intel i9,32,Nvidia RTX 2060,15.6,1366x768,10.9,3.17,Windows,2431.14,2000,SSD
Asus,Intel i5,4,Nvidia RTX 3080,14.0,2560x1440,11.5,3.43,macOS,1217.24,1000,SSD
MSI,Intel i5,4,AMD Radeon RX 6800,16.0,1366x768,5.8,2.4,Linux,954.65,512,SSD
HP,AMD Ryzen 5,8,Nvidia GTX 1650,17.3,1920x1080,5.7,3.07,FreeDOS,1250.43,1000,SSD
Acer,AMD Ryzen 5,64,Nvidia RTX 3060,17.3,2560x1440,6.3,1.37,Windows,3401.59,512,SSD
HP,AMD Ryzen 7,64,Integrated,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37,1000,SSD
Lenovo,Intel i9,64,Nvidia RTX 3080,13.3,2560x1440,10.3,2.99,macOS,4995.89,1000,SSD
HP,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38,1000,HDD
Acer,Intel i5,8,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19,2000,SSD
Apple,Intel i5,8,Nvidia RTX 2060,14.0,3840x2160,5.2,2.1,Linux,2607.44,256,SSD
Microsoft,Intel i9,16,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13,1000,HDD
Microsoft,AMD Ryzen 9,32,Nvidia RTX 3080,13.3,1920x1080,11.8,1.28,Linux,2721.4,1000,SSD
HP,AMD Ryzen 5,16,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16,512,SSD
Acer,AMD Ryzen 3,4,Integrated,15.6,1920x1080,7.8,1.66,FreeDOS,590.45,1000,SSD
Razer,Intel i9,8,Nvidia RTX 2060,15.6,1920x1080,8.7,2.78,Linux,2549.6,1000,SSD
Asus,AMD Ryzen 3,32,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14,512,SSD
Acer,AMD Ryzen 7,64,AMD Radeon RX 6800,16.0,3840x2160,6.5,2.09,Linux,5483.75,2000,SSD
Dell,AMD Ryzen 3,8,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2,1000,SSD
Acer,Intel i3,4,Nvidia GTX 1650,13.3,1366x768,8.9,3.45,Windows,545.58,1000,SSD
Apple,Intel i5,16,Integrated,17.3,1366x768,11.6,2.83,Linux,1092.08,512,SSD
Razer,Intel i3,8,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64,1000,SSD
Razer,Intel i9,16,Nvidia RTX 3080,17.3,1920x1080,4.5,2.85,FreeDOS,3066.57,512,SSD
Samsung,AMD Ryzen 9,32,Integrated,15.6,1366x768,6.4,3.01,Linux,1735.86,512,SSD
Asus,AMD Ryzen 9,8,Nvidia RTX 3080,14.0,3840x2160,8.0,1.77,Windows,2895.86,512,SSD
Samsung,AMD Ryzen 9,4,AMD Radeon RX 6600,14.0,3840x2160,4.4,2.52,macOS,2072.73,1000,HDD
Dell,AMD Ryzen 7,16,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4,2000,SSD
Apple,AMD Ryzen 9,16,AMD Radeon RX 6600,13.3,3840x2160,11.4,1.79,FreeDOS,4918.11,1000,SSD
Microsoft,AMD Ryzen 5,64,Nvidia GTX 1650,17.3,3840x2160,11.4,2.12,Windows,4348.8,512,SSD
Samsung,AMD Ryzen 3,4,Nvidia GTX 1650,14.0,1920x1080,6.6,2.82,macOS,734.88,512,SSD
Razer,Intel i5,4,AMD Radeon RX 6800,16.0,1920x1080,6.6,2.83,Windows,1369.42,512,SSD
Acer,AMD Ryzen 3,64,Integrated,15.6,3840x2160,7.6,1.8,FreeDOS,2531.45,1000,SSD
Samsung,Intel i7,16,Nvidia RTX 2060,17.3,2560x1440,10.4,1.42,Windows,2018.16,2000,SSD
Acer,Intel i9,32,Integrated,15.6,1366x768,11.6,2.55,Windows,1633.4,512,SSD
Lenovo,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,2560x1440,10.4,3.1,Windows,1528.92,512,SSD
Microsoft,AMD Ryzen 5,64,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91,512,SSD
Apple,AMD Ryzen 5,16,Nvidia RTX 3080,15.6,1920x1080,9.8,1.45,macOS,1864.34,256,SSD
Apple,AMD Ryzen 3,16,Integrated,17.3,3840x2160,9.2,1.94,Linux,1828.29,1000,SSD
Apple,Intel i3,64,AMD Radeon RX 6600,14.0,2560x1440,7.0,1.35,FreeDOS,3838.22,512,SSD
Razer,AMD Ryzen 3,32,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0,512,SSD
Microsoft,AMD Ryzen 5,32,Nvidia RTX 2060,13.3,3840x2160,12.0,2.5,Windows,2631.83,1000,SSD
Samsung,Intel i3,4,Integrated,17.3,1920x1080,11.5,3.29,Windows,462.82,2000,SSD
Dell,AMD Ryzen 7,16,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3,2000,SSD
Razer,AMD Ryzen 9,4,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01,512,SSD
Acer,Intel i9,64,Integrated,15.6,1920x1080,8.3,3.06,macOS,2970.68,1000,SSD
Asus,AMD Ryzen 3,64,AMD Radeon RX 6600,14.0,1366x768,11.1,3.26,FreeDOS,1697.07,256,SSD
Acer,AMD Ryzen 3,32,Nvidia RTX 3060,17.3,1920x1080,7.1,1.41,FreeDOS,1321.09,1000,HDD
Dell,AMD Ryzen 9,32,AMD Radeon RX 6800,16.0,2560x1440,6.8,2.32,Linux,3739.27,256,SSD
Apple,AMD Ryzen 3,4,Nvidia RTX 3060,16.0,1920x1080,7.9,2.69,FreeDOS,1134.98,2000,SSD
Samsung,AMD Ryzen 5,64,Nvidia GTX 1650,13.3,1366x768,10.9,2.33,Windows,2105.65,2000,SSD
HP,AMD Ryzen 9,8,Nvidia RTX 3060,14.0,1366x768,11.8,3.28,Linux,1434.82,256,SSD
MSI,AMD Ryzen 7,4,Nvidia GTX 1650,17.3,3840x2160,10.5,1.33,FreeDOS,2551.92,1000,SSD
Microsoft,Intel i5,32,AMD Radeon RX 6800,16.0,1366x768,4.3,2.42,Windows,1118.11,1000,HDD
Samsung,AMD Ryzen 9,16,AMD Radeon RX 6600,16.0,3840x2160,6.3,1.56,Linux,3729.28,2000,SSD
Microsoft,Intel i3,8,Nvidia GTX 1650,14.0,2560x1440,10.4,3.06,Linux,1001.65,1000,HDD
Asus,Intel i7,16,Nvidia GTX 1650,14.0,3840x2160,4.1,2.59,Windows,2352.27,2000,SSD
HP,AMD Ryzen 3,64,Nvidia RTX 2060,15.6,1920x1080,6.7,1.24,FreeDOS,2144.65,1000,SSD
Dell,AMD Ryzen 9,4,Nvidia GTX 1650,14.0,2560x1440,6.0,2.56,Linux,1443.2,1000,HDD
Acer,AMD Ryzen 3,8,Integrated,17.3,1920x1080,4.4,3.49,FreeDOS,554.72,1000,HDD
Apple,Intel i5,8,Integrated,13.3,1920x1080,5.7,1.24,macOS,1087.07,512,SSD
Samsung,Intel i7,16,Nvidia RTX 3080,14.0,1920x1080,11.5,3.3,FreeDOS,1619.29,256,SSD
Apple,Intel i5,64,AMD Radeon RX 6600,17.3,1920x1080,9.4,2.82,FreeDOS,3998.58,512,SSD
Apple,Intel i3,64,Integrated,15.6,1366x768,6.8,1.79,Windows,1468.97,1000,HDD
Samsung,AMD Ryzen 5,16,Nvidia RTX 3080,17.3,1366x768,7.9,2.07,macOS,908.56,1000,HDD
HP,AMD Ryzen 9,32,Nvidia RTX 3060,17.3,2560x1440,4.2,2.36,FreeDOS,3667.64,1000,SSD
Samsung,AMD Ryzen 3,16,AMD Radeon RX 6600,15.6,2560x1440,4.9,2.5,Linux,1314.19,256,SSD
Asus,AMD Ryzen 9,32,AMD Radeon RX 6600,13.3,1366x768,9.6,3.17,FreeDOS,2194.29,1000,SSD
Lenovo,AMD Ryzen 3,4,Nvidia RTX 2060,17.3,1920x1080,6.7,1.28,Linux,900.51,1000,SSD
Dell,AMD Ryzen 7,4,Nvidia RTX 3060,13.3,3840x2160,5.5,1.54,FreeDOS,1734.63,1000,SSD
Samsung,Intel i7,16,AMD Radeon RX 6600,13.3,3840x2160,9.5,2.62,Windows,2617.78,512,SSD
Razer,AMD Ryzen 5,4,Nvidia RTX 3080,13.3,3840x2160,11.6,1.82,macOS,2088.13,1000,SSD
Razer,Intel i7,64,Nvidia RTX 2060,15.6,2560x1440,6.2,2.21,FreeDOS,5519.35,256,SSD
Dell,AMD Ryzen 7,4,Nvidia RTX 3080,15.6,2560x1440,7.8,2.22,Linux,1683.6,1000,SSD
Microsoft,AMD Ryzen 7,4,AMD Radeon RX 6800,13.3,1920x1080,11.8,1.68,Windows,1131.03,1000,SSD
MSI,Intel i7,4,Integrated,14.0,1920x1080,7.2,2.87,Windows,908.17,256,SSD
Dell,AMD Ryzen 3,16,Nvidia RTX 2060,17.3,3840x2160,7.5,3.33,Windows,1879.12,512,SSD
HP,Intel i7,64,Integrated,15.6,1920x1080,5.0,2.8,Linux,2246.54,512,SSD
HP,AMD Ryzen 9,64,AMD Radeon RX 6600,14.0,2560x1440,6.0,2.68,FreeDOS,4841.47,2000,SSD
Microsoft,AMD Ryzen 7,64,AMD Radeon RX 6600,13.3,3840x2160,6.2,2.79,Windows,4856.96,256,SSD
Samsung,AMD Ryzen 9,64,Nvidia RTX 2060,14.0,1366x768,8.9,2.76,macOS,3322.3,1000,SSD
HP,AMD Ryzen 3,4,Integrated,17.3,3840x2160,11.7,2.18,Windows,844.17,256,SSD
MSI,AMD Ryzen 3,64,Nvidia RTX 3080,15.6,3840x2160,4.2,3.49,FreeDOS,4651.94,256,SSD
Samsung,AMD Ryzen 3,64,Nvidia GTX 1650,17.3,3840x2160,8.6,3.08,Windows,3543.53,1000,SSD
Microsoft,AMD Ryzen 7,16,Integrated,16.0,2560x1440,11.3,2.64,FreeDOS,1251.15,2000,SSD
Asus,AMD Ryzen 7,32,Nvidia RTX 3080,14.0,1366x768,12.0,2.9,Linux,1671.77,512,SSD
Microsoft,Intel i5,32,AMD Radeon RX 6600,13.3,1920x1080,8.1,1.27,FreeDOS,1618.07,512,SSD
Asus,Intel i9,16,AMD Radeon RX 6600,14.0,1366x768,6.8,2.19,macOS,1629.89,512,SSD
Microsoft,AMD Ryzen 9,64,AMD Radeon RX 6800,15.6,3840x2160,5.8,2.59,Linux,7174.89,1000,SSD
Microsoft,AMD Ryzen 7,16,Nvidia RTX 3080,13.3,1366x768,7.4,3.17,Linux,1227.22,256,SSD
Samsung,Intel i9,64,AMD Radeon RX 6800,13.3,1920x1080,10.6,1.54,macOS,3795.01,256,SSD
HP,Intel i7,8,Nvidia GTX 1650,15.6,3840x2160,11.8,2.66,Linux,2389.37,2000,SSD
Asus,Intel i7,32,Nvidia GTX 1650,16.0,2560x1440,9.3,1.66,Windows,2649.46,512,SSD
Apple,AMD Ryzen 9,16,Nvidia GTX 1650,15.6,1366x768,5.0,1.34,Windows,2797.38,2000,SSD
MSI,Intel i9,8,Integrated,14.0,3840x2160,9.4,3.19,macOS,2435.32,2000,SSD
Lenovo,Intel i7,64,Integrated,16.0,3840x2160,11.5,2.81,macOS,3608.15,256,SSD
Lenovo,AMD Ryzen 3,8,AMD Radeon RX 6800,17.3,2560x1440,10.9,1.67,macOS,1197.24,512,SSD
Microsoft,AMD Ryzen 9,8,Nvidia RTX 3060,14.0,3840x2160,6.6,1.33,Linux,2328.57,1000,HDD
Acer,AMD Ryzen 5,4,Nvidia RTX 3080,17.3,3840x2160,10.7,1.3,FreeDOS,1660.74,1000,SSD
